Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
201–250,University of Calgary,https://www.timeshighereducation.com/world-university-rankings/university-calgary,Canada,28560,16,0.19,n/a,2020
201–250,Copenhagen Business School,https://www.timeshighereducation.com/world-university-rankings/copenhagen-business-school,Denmark,16317,30.9,0.25,48 : 52,2020
201–250,University of Dundee,https://www.timeshighereducation.com/world-university-rankings/university-dundee,United Kingdom,12122,17.6,0.22,63 : 37,2020
201–250,École Normale Supérieurede Lyon,https://www.timeshighereducation.com/world-university-rankings/ecole-normale-superieure-de-lyon,France,2362,8.9,0.13,48 : 52,2020
201–250,Griffith University,https://www.timeshighereducation.com/world-university-rankings/griffith-university,Australia,34120,23.6,0.17,58 : 42,2020
201–250,University of Hawai’iat Mānoa,https://www.timeshighereducation.com/world-university-rankings/university-hawaii-manoa,United States,15054,10.8,0.1,57 : 43,2020
201–250,Hebrew University of Jerusalem,https://www.timeshighereducation.com/world-university-rankings/hebrew-university-jerusalem,Israel,16137,12,0.05,56 : 44,2020
201–250,University of Hohenheim,https://www.timeshighereducation.com/world-university-rankings/university-hohenheim,Germany,9234,37.8,0.15,57 : 43,2020
201–250,Howard University,https://www.timeshighereducation.com/world-university-rankings/howard-university,United States,8449,7.5,0.08,65 : 35,2020
201–250,University of Iowa,https://www.timeshighereducation.com/world-university-rankings/university-iowa,United States,28945,11.6,0.12,52 : 48,2020
201–250,James Cook University,https://www.timeshighereducation.com/world-university-rankings/james-cook-university,Australia,11491,21.2,0.11,63 : 37,2020
201–250,King Abdulaziz University,https://www.timeshighereducation.com/world-university-rankings/king-abdulaziz-university,Saudi Arabia,32853,7.9,0.21,54 : 46,2020
201–250,University of Konstanz,https://www.timeshighereducation.com/world-university-rankings/university-konstanz,Germany,11387,56.1,0.13,55 : 45,2020
201–250,KTH Royal Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology,Sweden,12659,15.7,0.2,33 : 67,2020
201–250,Université Librede Bruxelles,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles,Belgium,27194,36.2,0.34,56 : 44,2020
201–250,University of Luxembourg,https://www.timeshighereducation.com/world-university-rankings/university-luxembourg,Luxembourg,4654,18.7,0.49,51 : 49,2020
201–250,Macquarie University,https://www.timeshighereducation.com/world-university-rankings/macquarie-university,Australia,30234,68.6,0.29,52 : 48,2020
201–250,University of Massachusetts,https://www.timeshighereducation.com/world-university-rankings/university-massachusetts,United States,61204,13,0.15,48 : 52,2020
201–250,Medical University of Graz,https://www.timeshighereducation.com/world-university-rankings/medical-university-graz,Austria,3352,10.9,0.24,53 : 47,2020
201–250,Medical University of Vienna,https://www.timeshighereducation.com/world-university-rankings/medical-university-vienna,Austria,7142,8.1,0.3,52 : 48,2020
201–250,University of Miami,https://www.timeshighereducation.com/world-university-rankings/university-miami,United States,15971,6.3,0.16,52 : 48,2020
201–250,Moscow Institute of Physics and Technology (MIPT),https://www.timeshighereducation.com/world-university-rankings/moscow-institute-physics-and-technology-mipt,Russian Federation,5716,11.2,0.15,24 : 76,2020
201–250,Newcastle University,https://www.timeshighereducation.com/world-university-rankings/newcastle-university,United Kingdom,22691,14.1,0.27,51 : 49,2020
201–250,University of Otago,https://www.timeshighereducation.com/world-university-rankings/university-otago,New Zealand,18196,20,0.21,59 : 41,2020
201–250,University of Padua,https://www.timeshighereducation.com/world-university-rankings/university-padua,Italy,45169,21.3,0.04,55 : 45,2020
201–250,Paris-Sud University,https://www.timeshighereducation.com/world-university-rankings/paris-sud-university,France,28726,14.5,0.17,56 : 44,2020
201–250,Queen’s University Belfast,https://www.timeshighereducation.com/world-university-rankings/queens-university-belfast,United Kingdom,17747,17.2,0.36,55 : 45,2020
201–250,RCSI University of Medicine and Health Sciences,https://www.timeshighereducation.com/world-university-rankings/rcsi-university-medicine-and-health-sciences,Ireland,2265,21.1,0.65,n/a,2020
201–250,University of Reading,https://www.timeshighereducation.com/world-university-rankings/university-reading,United Kingdom,14107,14.9,0.31,57 : 43,2020
201–250,"St George’s, University of London",https://www.timeshighereducation.com/world-university-rankings/st-georges-university-london,United Kingdom,3226,14.7,0.21,62 : 38,2020
201–250,University of South Florida (Tampa),https://www.timeshighereducation.com/world-university-rankings/university-south-florida-tampa,United States,33885,18.9,0.14,n/a,2020
201–250,Tilburg University,https://www.timeshighereducation.com/world-university-rankings/tilburg-university,Netherlands,8033,21.4,0.15,50 : 50,2020
201–250,University of Twente,https://www.timeshighereducation.com/world-university-rankings/university-twente,Netherlands,7584,13.9,0.32,37 : 63,2020
201–250,Ulsan National Institute of Science and Technology (UNIST),https://www.timeshighereducation.com/world-university-rankings/ulsan-national-institute-science-and-technology-unist,South Korea,4127,13.9,0.08,26 : 74,2020
201–250,University College Dublin,https://www.timeshighereducation.com/world-university-rankings/university-college-dublin,Ireland,22541,23.1,0.29,n/a,2020
201–250,University of Utah,https://www.timeshighereducation.com/world-university-rankings/university-utah,United States,30365,14.2,0.08,47 : 53,2020
201–250,Virginia Polytechnic Institute and State University,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university,United States,32838,18.3,0.14,43 : 57,2020
201–250,Vita-Salute San Raffaele University,https://www.timeshighereducation.com/world-university-rankings/vita-salute-san-raffaele-university,Italy,2610,10.7,0.03,59 : 41,2020
201–250,Vrije Universiteit Brussel,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-brussel,Belgium,11371,28.4,0.22,54 : 46,2020
201–250,Wake Forest University,https://www.timeshighereducation.com/world-university-rankings/wake-forest-university,United States,7675,4,0.09,53 : 47,2020
201–250,University of Waterloo,https://www.timeshighereducation.com/world-university-rankings/university-waterloo,Canada,33519,23.6,0.2,47 : 53,2020
201–250,Western University,https://www.timeshighereducation.com/world-university-rankings/western-university,Canada,29865,23.1,0.18,56 : 44,2020
201–250,William& Mary,https://www.timeshighereducation.com/world-university-rankings/william-mary,United States,8235,11.4,0.09,55 : 45,2020
201–250,University of Wollongong,https://www.timeshighereducation.com/world-university-rankings/university-wollongong,Australia,18642,31.5,0.29,52 : 48,2020
251–300,Alfaisal University,https://www.timeshighereducation.com/world-university-rankings/alfaisal-university,Saudi Arabia,2566,10.4,0.34,60 : 40,2020
251–300,Auckland University of Technology,https://www.timeshighereducation.com/world-university-rankings/auckland-university-technology,New Zealand,18035,17.1,0.47,59 : 41,2020
251–300,Autonomous University of Madrid,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-madrid,Spain,29576,13.4,0.14,61 : 39,2020
251–300,University of Bath,https://www.timeshighereducation.com/world-university-rankings/university-bath,United Kingdom,13825,16.4,0.32,46 : 54,2020
251–300,Brighton and Sussex Medical School,https://www.timeshighereducation.com/world-university-rankings/brighton-and-sussex-medical-school,United Kingdom,879,11.3,0.15,57 : 43,2020
251–300,Universityat Buffalo,https://www.timeshighereducation.com/world-university-rankings/university-buffalo,United States,25849,17.4,0.17,44 : 56,2020
251–300,"University of California, Riverside",https://www.timeshighereducation.com/world-university-rankings/university-california-riverside,United States,22272,18,0.14,53 : 47,2020
251–300,Chalmers University of Technology,https://www.timeshighereducation.com/world-university-rankings/chalmers-university-technology,Sweden,9209,12.5,0.17,32 : 68,2020
251–300,University of Cincinnati,https://www.timeshighereducation.com/world-university-rankings/university-cincinnati,United States,28434,20.4,0.09,51 : 49,2020
251–300,Curtin University,https://www.timeshighereducation.com/world-university-rankings/curtin-university,Australia,29214,20.2,0.31,51 : 49,2020
251–300,Dalhousie University,https://www.timeshighereducation.com/world-university-rankings/dalhousie-university,Canada,15196,14.7,0.23,54 : 46,2020
251–300,University of Delaware,https://www.timeshighereducation.com/world-university-rankings/university-delaware,United States,20566,17,0.1,57 : 43,2020
251–300,Écoledes Ponts ParisTech,https://www.timeshighereducation.com/world-university-rankings/ecole-des-ponts-paristech,France,2005,11.3,0.44,32 : 68,2020
251–300,University of Essex,https://www.timeshighereducation.com/world-university-rankings/university-essex,United Kingdom,11923,16.1,0.39,54 : 46,2020
251–300,Flinders University,https://www.timeshighereducation.com/world-university-rankings/flinders-university,Australia,16844,25.8,0.34,64 : 36,2020
251–300,Florida State University,https://www.timeshighereducation.com/world-university-rankings/florida-state-university,United States,38520,24.1,0.07,56 : 44,2020
251–300,George Mason University,https://www.timeshighereducation.com/world-university-rankings/george-mason-university,United States,29377,18,0.1,54 : 46,2020
251–300,Heriot-Watt University,https://www.timeshighereducation.com/world-university-rankings/heriot-watt-university,United Kingdom,9189,17.2,0.35,41 : 59,2020
251–300,HSE University,https://www.timeshighereducation.com/world-university-rankings/hse-university,Russian Federation,22111,13.1,0.09,n/a,2020
251–300,University of Illinois at Chicago,https://www.timeshighereducation.com/world-university-rankings/university-illinois-chicago,United States,27031,11.5,0.2,52 : 48,2020
251–300,University of Kiel,https://www.timeshighereducation.com/world-university-rankings/university-kiel,Germany,26412,22.2,0.08,53 : 47,2020
251–300,La Trobe University,https://www.timeshighereducation.com/world-university-rankings/la-trobe-university,Australia,22292,33.9,0.29,64 : 36,2020
251–300,Université Laval,https://www.timeshighereducation.com/world-university-rankings/universite-laval,Canada,29250,17.3,0.13,57 : 43,2020
251–300,Macau University of Science and Technology,https://www.timeshighereducation.com/world-university-rankings/macau-university-science-and-technology,Macao,9924,24.4,0.79,56 : 44,2020
251–300,Medical University of Innsbruck,https://www.timeshighereducation.com/world-university-rankings/medical-university-innsbruck,Austria,2966,4.3,0.44,52 : 48,2020
251–300,"National University of Ireland, Galway",https://www.timeshighereducation.com/world-university-rankings/national-university-ireland-galway,Ireland,13911,26.6,0.17,58 : 42,2020
251–300,University of Navarra,https://www.timeshighereducation.com/world-university-rankings/university-navarra,Spain,10833,13,0.22,53 : 47,2020
251–300,University of Oregon,https://www.timeshighereducation.com/world-university-rankings/university-oregon,United States,22143,10.8,0.12,54 : 46,2020
251–300,Oregon Health and Science University,https://www.timeshighereducation.com/world-university-rankings/oregon-health-and-science-university,United States,2895,1,0.03,66 : 34,2020
251–300,University of Oulu,https://www.timeshighereducation.com/world-university-rankings/university-oulu,Finland,10086,30,0.06,51 : 49,2020
251–300,University of Passau,https://www.timeshighereducation.com/world-university-rankings/university-passau,Germany,11387,86.6,0.12,59 : 41,2020
251–300,University of Potsdam,https://www.timeshighereducation.com/world-university-rankings/university-potsdam,Germany,20063,53.9,0.11,57 : 43,2020
251–300,Queen’s University,https://www.timeshighereducation.com/world-university-rankings/queens-university,Canada,23306,25.1,0.13,58 : 42,2020
251–300,"Royal Holloway, University of London",https://www.timeshighereducation.com/world-university-rankings/royal-holloway-university-london,United Kingdom,9503,15.2,0.36,59 : 41,2020
251–300,Ruhr University Bochum,https://www.timeshighereducation.com/world-university-rankings/ruhr-university-bochum,Germany,43015,60.5,0.14,49 : 51,2020
251–300,University of São Paulo,https://www.timeshighereducation.com/world-university-rankings/university-sao-paulo,Brazil,83214,15.9,0.04,48 : 52,2020
251–300,Sapienza University of Rome,https://www.timeshighereducation.com/world-university-rankings/sapienza-university-rome,Italy,71318,21.3,0.06,57 : 43,2020
251–300,Simon Fraser University,https://www.timeshighereducation.com/world-university-rankings/simon-fraser-university,Canada,26521,27.3,0.3,55 : 45,2020
251–300,University of South Australia,https://www.timeshighereducation.com/world-university-rankings/university-south-australia,Australia,20268,30.5,0.25,58 : 42,2020
251–300,University of Southern Denmark,https://www.timeshighereducation.com/world-university-rankings/university-southern-denmark,Denmark,21281,12.1,0.17,53 : 47,2020
251–300,Stellenbosch University,https://www.timeshighereducation.com/world-university-rankings/stellenbosch-university,South Africa,24308,26.1,0.08,55 : 45,2020
251–300,University of Stuttgart,https://www.timeshighereducation.com/world-university-rankings/university-stuttgart,Germany,26004,45.8,0.2,32 : 68,2020
251–300,Sun Yat-sen University,https://www.timeshighereducation.com/world-university-rankings/sun-yat-sen-university,China,53603,16.6,0.09,51 : 49,2020
251–300,University of Surrey,https://www.timeshighereducation.com/world-university-rankings/university-surrey,United Kingdom,13125,16,0.37,55 : 45,2020
251–300,Swansea University,https://www.timeshighereducation.com/world-university-rankings/swansea-university,United Kingdom,16445,16.7,0.23,45 : 55,2020
251–300,Syracuse University,https://www.timeshighereducation.com/world-university-rankings/syracuse-university,United States,20236,15.7,0.2,53 : 47,2020
251–300,Tampere University,https://www.timeshighereducation.com/world-university-rankings/tampere-university,Finland,15149,21.8,0.06,51 : 49,2020
251–300,Technical University of Darmstadt,https://www.timeshighereducation.com/world-university-rankings/technical-university-darmstadt,Germany,18166,40.8,0.17,30 : 70,2020
251–300,Tohoku University,https://www.timeshighereducation.com/world-university-rankings/tohoku-university,Japan,17735,8.2,0.12,27 : 73,2020
251–300,Tokyo Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/tokyo-institute-technology,Japan,9752,7.7,0.13,15 : 85,2020
251–300,Western Sydney University,https://www.timeshighereducation.com/world-university-rankings/western-sydney-university,Australia,32259,35.7,0.17,56 : 44,2020
301–350,Aix-Marseille University,https://www.timeshighereducation.com/world-university-rankings/aix-marseille-university,France,67857,16.6,0.12,59 : 41,2020
301–350,Anglia Ruskin University ARU,https://www.timeshighereducation.com/world-university-rankings/anglia-ruskin-university-aru,United Kingdom,18022,23.1,0.3,63 : 37,2020
301–350,Beijing Normal University,https://www.timeshighereducation.com/world-university-rankings/beijing-normal-university,China,23524,15.4,0.11,n/a,2020
301–350,Boston College,https://www.timeshighereducation.com/world-university-rankings/boston-college,United States,12904,15.7,0.11,55 : 45,2020
301–350,University of Canterbury,https://www.timeshighereducation.com/world-university-rankings/university-canterbury,New Zealand,13089,18,0.24,50 : 50,2020
301–350,Colorado School of Mines,https://www.timeshighereducation.com/world-university-rankings/colorado-school-mines,United States,5768,16.7,0.11,29 : 71,2020
301–350,Cyprus University of Technology,https://www.timeshighereducation.com/world-university-rankings/cyprus-university-technology,Cyprus,3228,17.4,0.08,54 : 46,2020
301–350,Deakin University,https://www.timeshighereducation.com/world-university-rankings/deakin-university,Australia,39305,28.6,0.22,58 : 42,2020
301–350,University of Fribourg,https://www.timeshighereducation.com/world-university-rankings/university-fribourg,Switzerland,10887,32.3,0.18,59 : 41,2020
301–350,Goethe University Frankfurt,https://www.timeshighereducation.com/world-university-rankings/goethe-university-frankfurt,Germany,47141,19.6,0.15,57 : 43,2020
301–350,Grenoble Alpes University,https://www.timeshighereducation.com/world-university-rankings/grenoble-alpes-university,France,41411,17.6,0.13,52 : 48,2020
301–350,Huazhong University of Science and Technology,https://www.timeshighereducation.com/world-university-rankings/huazhong-university-science-and-technology,China,56379,16.5,0.05,36 : 64,2020
301–350,Indian Institute of Science,https://www.timeshighereducation.com/world-university-rankings/indian-institute-science,India,4128,9.6,0.01,23 : 77,2020
301–350,Indian Institute of Technology Ropar,https://www.timeshighereducation.com/world-university-rankings/indian-institute-technology-ropar,India,1119,7.6,0,13 : 87,2020
301–350,Jacobs University,https://www.timeshighereducation.com/world-university-rankings/jacobs-university,Germany,1142,16.2,0.76,45 : 55,2020
301–350,Johannes Gutenberg University of Mainz,https://www.timeshighereducation.com/world-university-rankings/johannes-gutenberg-university-mainz,Germany,31919,26.9,0.11,59 : 41,2020
301–350,University of Klagenfurt,https://www.timeshighereducation.com/world-university-rankings/university-klagenfurt,Austria,3639,10.8,0.22,69 : 31,2020
301–350,Kyung Hee University,https://www.timeshighereducation.com/world-university-rankings/kyung-hee-university,South Korea,22102,17.3,0.22,51 : 49,2020
301–350,University of Liège,https://www.timeshighereducation.com/world-university-rankings/university-liege,Belgium,20888,27,0.21,56 : 44,2020
301–350,University of Macau,https://www.timeshighereducation.com/world-university-rankings/university-macau,Macao,9340,14.4,0.37,57 : 43,2020
301–350,University of Malaya,https://www.timeshighereducation.com/world-university-rankings/university-malaya,Malaysia,15140,8,0.2,63 : 37,2020
301–350,University of Marburg,https://www.timeshighereducation.com/world-university-rankings/university-marburg,Germany,25541,34.7,0.12,55 : 45,2020
301–350,Maynooth University,https://www.timeshighereducation.com/world-university-rankings/maynooth-university,Ireland,9291,28.3,0.12,55 : 45,2020
301–350,University of Milan,https://www.timeshighereducation.com/world-university-rankings/university-milan,Italy,45451,21.4,0.06,59 : 41,2020
301–350,Montpellier University,https://www.timeshighereducation.com/world-university-rankings/montpellier-university,France,39405,19.5,0.15,53 : 47,2020
301–350,Nagoya University,https://www.timeshighereducation.com/world-university-rankings/nagoya-university,Japan,15676,9.2,0.11,30 : 70,2020
301–350,University of Newcastle,https://www.timeshighereducation.com/world-university-rankings/university-newcastle,Australia,22100,20.7,0.18,55 : 45,2020
301–350,University of New Mexico (Main campus),https://www.timeshighereducation.com/world-university-rankings/university-new-mexico-main-campus,United States,19382,17.1,0.05,55 : 45,2020
301–350,North Carolina State University,https://www.timeshighereducation.com/world-university-rankings/north-carolina-state-university,United States,30231,12.5,0.15,45 : 55,2020
301–350,Nova Southeastern University,https://www.timeshighereducation.com/world-university-rankings/nova-southeastern-university,United States,17785,23.4,0.06,69 : 31,2020
301–350,Osaka University,https://www.timeshighereducation.com/world-university-rankings/osaka-university,Japan,22892,7.4,0.11,32 : 68,2020
301–350,Politecnicodi Milano,https://www.timeshighereducation.com/world-university-rankings/polytechnic-university-milan,Italy,35184,25,0.17,34 : 66,2020
301–350,Reykjavík University,https://www.timeshighereducation.com/world-university-rankings/reykjavik-university,Iceland,2879,24.9,0.08,41 : 59,2020
301–350,Rush University,https://www.timeshighereducation.com/world-university-rankings/rush-university,United States,2425,2,0.01,74 : 26,2020
301–350,Southern University of Science and Technology (SUSTech),https://www.timeshighereducation.com/world-university-rankings/southern-university-science-and-technology-sustech,China,3198,9.5,0,27 : 73,2020
301–350,Stony Brook University,https://www.timeshighereducation.com/world-university-rankings/stony-brook-university,United States,24201,10.5,0.23,50 : 50,2020
301–350,Swedish University of Agricultural Sciences,https://www.timeshighereducation.com/world-university-rankings/swedish-university-agricultural-sciences,Sweden,3737,4.5,0.04,69 : 31,2020
301–350,University of Tartu,https://www.timeshighereducation.com/world-university-rankings/university-tartu,Estonia,8532,11.6,0.08,68 : 32,2020
301–350,University of Tasmania,https://www.timeshighereducation.com/world-university-rankings/university-tasmania,Australia,18219,24.9,0.3,60 : 40,2020
301–350,Temple University,https://www.timeshighereducation.com/world-university-rankings/temple-university,United States,35814,13,0.09,53 : 47,2020
301–350,The University of Tennessee-Knoxville,https://www.timeshighereducation.com/world-university-rankings/university-tennessee-knoxville,United States,25907,16.8,0.05,n/a,2020
301–350,University of Texasat Dallas,https://www.timeshighereducation.com/world-university-rankings/university-texas-dallas,United States,22757,21.6,0.25,43 : 57,2020
301–350,University of Trento,https://www.timeshighereducation.com/world-university-rankings/university-trento,Italy,12920,19.5,0.07,51 : 49,2020
301–350,Tulane University,https://www.timeshighereducation.com/world-university-rankings/tulane-university,United States,11185,9.8,0.11,57 : 43,2020
301–350,Umeå University,https://www.timeshighereducation.com/world-university-rankings/umea-university,Sweden,17373,12.5,0.11,60 : 40,2020
301–350,United Arab Emirates University,https://www.timeshighereducation.com/world-university-rankings/united-arab-emirates-university,United Arab Emirates,7523,9.2,0.21,83 : 17,2020
301–350,Universitàdella Svizzera Italiana,https://www.timeshighereducation.com/world-university-rankings/universita-della-svizzera-italiana,Switzerland,2768,10.8,0.67,49 : 51,2020
301–350,University College Cork,https://www.timeshighereducation.com/world-university-rankings/university-college-cork,Ireland,16861,18,0.18,58 : 42,2020
301–350,Victoria University,https://www.timeshighereducation.com/world-university-rankings/victoria-university,Australia,14815,32.2,0.23,53 : 47,2020
351–400,University of Alaska Fairbanks,https://www.timeshighereducation.com/world-university-rankings/university-alaska-fairbanks,United States,3593,8.7,0.05,51 : 49,2020
351–400,American University of Beirut,https://www.timeshighereducation.com/world-university-rankings/american-university-beirut,Lebanon,8401,8.5,0.21,51 : 49,2020
351–400,Australian Catholic University,https://www.timeshighereducation.com/world-university-rankings/australian-catholic-university,Australia,23886,43.5,0.12,73 : 27,2020
351–400,Babol Noshirvani University of Technology,https://www.timeshighereducation.com/world-university-rankings/babol-noshirvani-university-technology,Iran,5744,29.6,0,32 : 68,2020
351–400,University of Bayreuth,https://www.timeshighereducation.com/world-university-rankings/university-bayreuth,Germany,9255,29.7,0.1,46 : 54,2020
351–400,"Birkbeck, University of London",https://www.timeshighereducation.com/world-university-rankings/birkbeck-university-london,United Kingdom,8631,15.8,0.38,54 : 46,2020
351–400,University of Bremen,https://www.timeshighereducation.com/world-university-rankings/university-bremen,Germany,18915,31.9,0.12,51 : 49,2020
351–400,Brunel University London,https://www.timeshighereducation.com/world-university-rankings/brunel-university-london,United Kingdom,10961,16.3,0.36,47 : 53,2020
351–400,"University of California, Merced",https://www.timeshighereducation.com/world-university-rankings/university-california-merced,United States,7324,20.9,0.08,51 : 49,2020
351–400,Catholic University of Portugal,https://www.timeshighereducation.com/world-university-rankings/catholic-university-portugal,Portugal,10998,26.7,0.1,60 : 40,2020
351–400,Clark University,https://www.timeshighereducation.com/world-university-rankings/clark-university,United States,3045,11.5,0.23,60 : 40,2020
351–400,University of Connecticut,https://www.timeshighereducation.com/world-university-rankings/university-connecticut,United States,32446,15.2,0.09,53 : 47,2020
351–400,University of Crete,https://www.timeshighereducation.com/world-university-rankings/university-crete,Greece,13321,23.4,0.04,62 : 38,2020
351–400,University of Denver,https://www.timeshighereducation.com/world-university-rankings/university-denver,United States,9535,13,0.09,57 : 43,2020
351–400,University of Florence,https://www.timeshighereducation.com/world-university-rankings/university-florence,Italy,34686,20.4,0.11,59 : 41,2020
351–400,"Goldsmiths, University of London",https://www.timeshighereducation.com/world-university-rankings/goldsmiths-university-london,United Kingdom,8486,15.3,0.35,66 : 34,2020
351–400,Hanyang University,https://www.timeshighereducation.com/world-university-rankings/hanyang-university,South Korea,20087,15.7,0.21,n/a,2020
351–400,Hasselt University,https://www.timeshighereducation.com/world-university-rankings/hasselt-university,Belgium,5189,31.1,0.13,47 : 53,2020
351–400,Hofstra University,https://www.timeshighereducation.com/world-university-rankings/hofstra-university,United States,10066,13.9,0.09,57 : 43,2020
351–400,University of Iceland,https://www.timeshighereducation.com/world-university-rankings/university-iceland,Iceland,8135,13.9,0.12,67 : 33,2020
351–400,IMT Atlantique,https://www.timeshighereducation.com/world-university-rankings/imt-atlantique,France,1676,8.2,0.44,26 : 74,2020
351–400,Indian Institute of Technology Indore,https://www.timeshighereducation.com/world-university-rankings/indian-institute-technology-indore,India,1128,9.7,0,17 : 83,2020
351–400,Iowa State University,https://www.timeshighereducation.com/world-university-rankings/iowa-state-university,United States,32469,18.8,0.12,44 : 56,2020
351–400,Jordan University of Science and Technology,https://www.timeshighereducation.com/world-university-rankings/jordan-university-science-and-technology,Jordan,21512,13.4,0.17,58 : 42,2020
351–400,Justus Liebig University Giessen,https://www.timeshighereducation.com/world-university-rankings/justus-liebig-university-giessen,Germany,28575,46.8,0.09,62 : 38,2020
351–400,University of Kent,https://www.timeshighereducation.com/world-university-rankings/university-kent,United Kingdom,17754,20,0.31,53 : 47,2020
351–400,Khalifa University,https://www.timeshighereducation.com/world-university-rankings/khalifa-university,United Arab Emirates,3651,9.5,0.26,55 : 45,2020
351–400,Loughborough University,https://www.timeshighereducation.com/world-university-rankings/loughborough-university,United Kingdom,14749,14.3,0.25,40 : 60,2020
351–400,University of Manitoba,https://www.timeshighereducation.com/world-university-rankings/university-manitoba,Canada,29311,29.4,0.17,53 : 47,2020
351–400,Nankai University,https://www.timeshighereducation.com/world-university-rankings/nankai-university,China,28061,13.3,0.07,n/a,2020
351–400,University of Naples Federico II,https://www.timeshighereducation.com/world-university-rankings/university-naples-federico-ii,Italy,49604,19.6,0.02,55 : 45,2020
351–400,National Tsing Hua University,https://www.timeshighereducation.com/world-university-rankings/national-tsing-hua-university,Taiwan,14853,18,0.1,42 : 58,2020
351–400,Northumbria University,https://www.timeshighereducation.com/world-university-rankings/northumbria-university,United Kingdom,21811,17.5,0.17,55 : 45,2020
351–400,"University of Occupational and Environmental Health, Japan",https://www.timeshighereducation.com/world-university-rankings/university-occupational-and-environmental-health-japan,Japan,1142,2.6,0.01,54 : 46,2020
351–400,Örebro University,https://www.timeshighereducation.com/world-university-rankings/orebro-university,Sweden,9735,18.5,0.06,61 : 39,2020
351–400,Oregon State University,https://www.timeshighereducation.com/world-university-rankings/oregon-state-university,United States,24798,16,0.11,46 : 54,2020
351–400,University of Perugia,https://www.timeshighereducation.com/world-university-rankings/university-perugia,Italy,24830,32.3,0.06,57 : 43,2020
351–400,University of Pisa,https://www.timeshighereducation.com/world-university-rankings/university-pisa,Italy,33726,22.4,0.06,51 : 49,2020
351–400,RMIT University,https://www.timeshighereducation.com/world-university-rankings/rmit-university,Australia,33848,22.4,0.3,47 : 53,2020
351–400,University of Salerno,https://www.timeshighereducation.com/world-university-rankings/university-salerno,Italy,24290,25.8,0.02,56 : 44,2020
351–400,State University of New York Albany,https://www.timeshighereducation.com/world-university-rankings/state-university-new-york-albany,United States,15947,16.6,0.1,52 : 48,2020
351–400,University of Stirling,https://www.timeshighereducation.com/world-university-rankings/university-stirling,United Kingdom,9250,15.8,0.23,63 : 37,2020
351–400,Swinburne University of Technology,https://www.timeshighereducation.com/world-university-rankings/swinburne-university-technology,Australia,14379,27.9,0.27,36 : 64,2020
351–400,Taipei Medical University,https://www.timeshighereducation.com/world-university-rankings/taipei-medical-university,Taiwan,5973,10.2,0.1,57 : 43,2020
351–400,TU Dortmund University,https://www.timeshighereducation.com/world-university-rankings/tu-dortmund-university,Germany,34267,108.8,0.1,45 : 55,2020
351–400,University of Turku,https://www.timeshighereducation.com/world-university-rankings/university-turku,Finland,12785,16.3,0.06,63 : 37,2020
351–400,TU Wien,https://www.timeshighereducation.com/world-university-rankings/tu-wien,Austria,10464,19.9,0.29,29 : 71,2020
351–400,Universitéde Versailles Saint-Quentin-en-Yvelines,https://www.timeshighereducation.com/world-university-rankings/universite-de-versailles-saint-quentin-en-yvelines,France,16621,21.2,0.15,59 : 41,2020
351–400,Washington State University,https://www.timeshighereducation.com/world-university-rankings/washington-state-university,United States,27957,18.1,0.07,52 : 48,2020
351–400,Wayne State University,https://www.timeshighereducation.com/world-university-rankings/wayne-state-university,United States,22295,11.3,0.09,55 : 45,2020
351–400,Wuhan University,https://www.timeshighereducation.com/world-university-rankings/wuhan-university,China,52502,14.6,0.07,n/a,2020
401–500,Aberystwyth University,https://www.timeshighereducation.com/world-university-rankings/aberystwyth-university,United Kingdom,6866,16.2,0.19,49 : 51,2020
401–500,University of Alabama,https://www.timeshighereducation.com/world-university-rankings/university-alabama,United States,35120,22.5,0.04,56 : 44,2020
401–500,American University,https://www.timeshighereducation.com/world-university-rankings/american-university,United States,11750,11,0.12,65 : 35,2020
401–500,Aswan University,https://www.timeshighereducation.com/world-university-rankings/aswan-university,Egypt,22393,40.8,0,59 : 41,2020
401–500,Bangor University,https://www.timeshighereducation.com/world-university-rankings/bangor-university,United Kingdom,9590,16.3,0.23,58 : 42,2020
401–500,University of Bari Aldo Moro,https://www.timeshighereducation.com/world-university-rankings/university-bari-aldo-moro,Italy,29564,20.5,0.01,61 : 39,2020
401–500,Bond University,https://www.timeshighereducation.com/world-university-rankings/bond-university,Australia,3341,10.3,0.43,54 : 46,2020
401–500,University of Bordeaux,https://www.timeshighereducation.com/world-university-rankings/university-bordeaux,France,54965,21.6,0.13,58 : 42,2020
401–500,Bournemouth University,https://www.timeshighereducation.com/world-university-rankings/bournemouth-university,United Kingdom,13692,17.1,0.18,55 : 45,2020
401–500,Universiti Brunei Darussalam,https://www.timeshighereducation.com/world-university-rankings/universiti-brunei-darussalam,Brunei Darussalam,3830,10.9,0.15,67 : 33,2020
401–500,Cankaya University,https://www.timeshighereducation.com/world-university-rankings/cankaya-university,Turkey,9164,28.4,0.02,45 : 55,2020
